CMDLINE 32069
MEM 829.699219 1731076060.3733
MEM 829.699219 1731076060.4739
MEM 829.699219 1731076060.5743
MEM 829.699219 1731076060.6748
MEM 829.699219 1731076060.7753
MEM 829.699219 1731076060.8756
MEM 873.699219 1731076060.9759
MEM 873.699219 1731076061.0764
MEM 905.613281 1731076061.1769
MEM 905.613281 1731076061.2773
MEM 905.613281 1731076061.3777
MEM 873.785156 1731076061.4782
MEM 913.789062 1731076061.5786
MEM 873.785156 1731076061.6790
MEM 873.785156 1731076061.7793
MEM 873.785156 1731076061.8797
MEM 873.785156 1731076061.9802
MEM 873.785156 1731076062.0806
MEM 873.785156 1731076062.1809
MEM 873.785156 1731076062.2813
MEM 873.785156 1731076062.3818
MEM 873.785156 1731076062.4822
MEM 873.785156 1731076062.5826
MEM 873.785156 1731076062.6831
MEM 873.785156 1731076062.7835
MEM 873.785156 1731076062.8838
MEM 873.785156 1731076062.9843
MEM 873.785156 1731076063.0847
MEM 873.738281 1731076063.1853
MEM 873.738281 1731076063.2861
MEM 873.738281 1731076063.3866
MEM 873.738281 1731076063.4870
MEM 873.738281 1731076063.5874
MEM 873.738281 1731076063.6877
MEM 873.738281 1731076063.7880
MEM 873.738281 1731076063.8885
MEM 873.738281 1731076063.9891
MEM 873.738281 1731076064.0896
MEM 873.738281 1731076064.1902
MEM 873.738281 1731076064.2906
MEM 873.738281 1731076064.3913
MEM 873.738281 1731076064.4919
MEM 873.738281 1731076064.5922
MEM 873.738281 1731076064.6927
MEM 873.738281 1731076064.7931
MEM 873.738281 1731076064.8937
MEM 873.738281 1731076064.9942
MEM 873.738281 1731076065.0953
MEM 873.738281 1731076065.1958
MEM 873.738281 1731076065.2971
MEM 873.738281 1731076065.3976
MEM 873.738281 1731076065.4983
MEM 873.738281 1731076065.5987
MEM 873.738281 1731076065.6995
MEM 873.738281 1731076065.8000
MEM 873.738281 1731076065.9006
MEM 873.738281 1731076066.0010
MEM 873.738281 1731076066.1016
MEM 873.738281 1731076066.2021
MEM 873.738281 1731076066.3025
MEM 873.738281 1731076066.4028
MEM 873.738281 1731076066.5032
MEM 922.996094 1731076066.6036
MEM 922.996094 1731076066.7040
MEM 922.996094 1731076066.8044
MEM 922.996094 1731076066.9048
MEM 954.800781 1731076067.0054
MEM 967.234375 1731076067.1058
MEM 967.234375 1731076067.2062
MEM 979.234375 1731076067.3067
MEM 979.234375 1731076067.4070
MEM 979.234375 1731076067.5074
MEM 929.816406 1731076067.6078
MEM 917.816406 1731076067.7082
MEM 917.816406 1731076067.8086
MEM 917.816406 1731076067.9090
MEM 917.816406 1731076068.0094
MEM 829.882812 1731076068.1097
MEM 829.882812 1731076068.2102
MEM 829.882812 1731076068.3108
MEM 829.882812 1731076068.4112
MEM 829.882812 1731076068.5117
MEM 829.882812 1731076068.6122
MEM 829.882812 1731076068.7127
MEM 829.882812 1731076068.8132
MEM 829.882812 1731076068.9135
MEM 829.882812 1731076069.0138
MEM 873.882812 1731076069.1142
MEM 873.882812 1731076069.2146
MEM 905.796875 1731076069.3151
MEM 905.796875 1731076069.4155
MEM 905.796875 1731076069.5158
MEM 873.968750 1731076069.6163
MEM 917.972656 1731076069.7167
MEM 873.968750 1731076069.8172
MEM 873.968750 1731076069.9176
MEM 873.968750 1731076070.0180
MEM 873.968750 1731076070.1184
MEM 873.968750 1731076070.2187
MEM 873.968750 1731076070.3190
MEM 873.968750 1731076070.4194
MEM 873.968750 1731076070.5199
MEM 873.968750 1731076070.6203
MEM 873.968750 1731076070.7207
MEM 873.968750 1731076070.8211
MEM 873.968750 1731076070.9214
MEM 873.968750 1731076071.0218
MEM 873.968750 1731076071.1223
MEM 873.968750 1731076071.2229
MEM 830.875000 1731076071.3235
MEM 830.875000 1731076071.4240
MEM 830.875000 1731076071.5247
MEM 830.875000 1731076071.6252
MEM 830.875000 1731076071.7258
MEM 830.875000 1731076071.8263
MEM 830.875000 1731076071.9268
MEM 830.875000 1731076072.0274
MEM 830.875000 1731076072.1280
MEM 830.875000 1731076072.2286
MEM 830.875000 1731076072.3296
MEM 830.875000 1731076072.4304
MEM 830.875000 1731076072.5309
MEM 830.875000 1731076072.6318
MEM 830.875000 1731076072.7326
MEM 830.875000 1731076072.8331
MEM 830.875000 1731076072.9338
MEM 830.875000 1731076073.0346
MEM 830.875000 1731076073.1357
MEM 830.875000 1731076073.2361
MEM 830.875000 1731076073.3366
MEM 830.875000 1731076073.4374
MEM 830.875000 1731076073.5380
MEM 830.875000 1731076073.6391
MEM 830.875000 1731076073.7398
MEM 830.875000 1731076073.8406
MEM 830.875000 1731076073.9415
MEM 830.875000 1731076074.0422
MEM 830.875000 1731076074.1428
MEM 830.875000 1731076074.2435
MEM 830.875000 1731076074.3440
MEM 830.875000 1731076074.4447
MEM 830.875000 1731076074.5452
MEM 830.875000 1731076074.6457
MEM 830.875000 1731076074.7464
MEM 830.875000 1731076074.8474
MEM 830.875000 1731076074.9479
MEM 830.875000 1731076075.0484
MEM 830.875000 1731076075.1491
MEM 830.875000 1731076075.2496
MEM 830.875000 1731076075.3501
MEM 830.875000 1731076075.4510
MEM 830.875000 1731076075.5514
MEM 830.875000 1731076075.6519
MEM 830.875000 1731076075.7525
MEM 830.875000 1731076075.8529
MEM 839.437500 1731076075.9533
MEM 839.437500 1731076076.0538
MEM 839.437500 1731076076.1542
MEM 839.437500 1731076076.2545
MEM 839.437500 1731076076.3549
MEM 839.437500 1731076076.4553
MEM 839.437500 1731076076.5557
MEM 839.437500 1731076076.6561
MEM 839.437500 1731076076.7566
MEM 839.437500 1731076076.8570
MEM 839.437500 1731076076.9573
MEM 839.437500 1731076077.0577
MEM 839.437500 1731076077.1582
MEM 839.437500 1731076077.2586
MEM 839.437500 1731076077.3590
MEM 894.429688 1731076077.4594
MEM 894.429688 1731076077.5598
MEM 806.539062 1731076077.6601
MEM 806.539062 1731076077.7605
MEM 806.539062 1731076077.8609
MEM 806.539062 1731076077.9612
MEM 806.539062 1731076078.0616
MEM 853.476562 1731076078.1620
MEM 853.476562 1731076078.2623
MEM 882.210938 1731076078.3627
MEM 944.652344 1731076078.4631
MEM 939.835938 1731076078.5636
MEM 939.835938 1731076078.6640
MEM 886.882812 1731076078.7643
MEM 886.882812 1731076078.8647
MEM 949.218750 1731076078.9651
MEM 902.402344 1731076079.0655
MEM 839.476562 1731076079.1658
MEM 839.417969 1731076079.2661
MEM 839.417969 1731076079.3666
MEM 839.417969 1731076079.4671
MEM 839.417969 1731076079.5675
MEM 839.417969 1731076079.6679
MEM 839.417969 1731076079.7682
MEM 839.417969 1731076079.8686
MEM 839.417969 1731076079.9690
MEM 839.417969 1731076080.0693
